step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
33,33.0,Cl,14.758321263704012,-5.407324712523788e-07,7.372754418001631e-14,1.0658141036401503e-08,3.7572020881171397e-06
33,33.0,H,2187.459575940427,-0.00011283961319760976,1.8903409111474534e-11,1.0658141036401503e-08,3.7572020881171397e-06
33,33.0,Na,14.75832126370401,-5.407324711498387e-07,7.184864722608735e-14,1.0658141036401503e-08,3.7572020881171397e-06
33,33.0,O,1093.7297879702148,-5.6419806591304804e-05,1.0581072856005042e-11,1.0658141036401503e-08,3.7572020881171397e-06
33,33.0,Zz,0.0,0.0,0.0,1.0658141036401503e-08,3.7572020881171397e-06
34,34.0,Cl,14.75832125530488,-5.491316036262638e-07,7.404490455546292e-14,1.0629719326971099e-08,3.7572021427401125e-06
34,34.0,H,2187.4595741877033,-0.00011459233725805585,1.9344280517696877e-11,1.0629719326971099e-08,3.7572021427401125e-06
34,34.0,Na,14.758321255304878,-5.49131603531048e-07,7.217333189542887e-14,1.0629719326971099e-08,3.7572021427401125e-06
34,34.0,O,1093.7297870938535,-5.729616862129347e-05,1.125602153259804e-11,1.0629719326971099e-08,3.7572021427401125e-06
34,34.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021427401125e-06
35,35.0,Cl,14.75832124703258,-5.574039163928304e-07,8.663327973041881e-14,1.0629719326971099e-08,3.7572021618359486e-06
35,35.0,H,2187.4595724614446,-0.0001163185967193782,2.0117607720752245e-11,1.0629719326971099e-08,3.7572021618359486e-06
35,35.0,Na,14.75832124703258,-5.574039162976146e-07,8.653806390978501e-14,1.0629719326971099e-08,3.7572021618359486e-06
35,35.0,O,1093.7297862307234,-5.8159298351720265e-05,1.0960329730391391e-11,1.0629719326971099e-08,3.7572021618359486e-06
35,35.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021618359486e-06
36,36.0,Cl,14.758321238881505,-5.655550000278113e-07,9.578621717328629e-14,2.020783540501725e-08,3.757202145848737e-06
36,36.0,H,2187.459570760483,-0.0001180195583395036,2.0190120449538156e-11,2.020783540501725e-08,3.757202145848737e-06
36,36.0,Na,14.758321238881505,-5.655549999380887e-07,9.569649457307367e-14,2.020783540501725e-08,3.757202145848737e-06
36,36.0,O,1093.7297853802438,-5.90097791615486e-05,1.2133220101372133e-11,2.020783540501725e-08,3.757202145848737e-06
36,36.0,Zz,0.0,0.0,0.0,2.020783540501725e-08,3.757202145848737e-06
37,37.0,Cl,14.758321230846452,-5.73590044813168e-07,8.70601390195723e-14,1.0658141036401503e-08,3.7572021518439414e-06
37,37.0,H,2187.4595690837364,-0.0001196963049959994,2.0140690927105548e-11,1.0658141036401503e-08,3.7572021518439414e-06
37,37.0,Na,14.758321230846452,-5.735900447344319e-07,8.698140286020204e-14,1.0658141036401503e-08,3.7572021518439414e-06
37,37.0,O,1093.7297845418702,-5.984815248956212e-05,1.188089728730796e-11,1.0658141036401503e-08,3.7572021518439414e-06
37,37.0,Zz,0.0,0.0,0.0,1.0658141036401503e-08,3.7572021518439414e-06
38,38.0,Cl,14.758321222922614,-5.815138799817651e-07,8.464265923662612e-14,1.0629719326971099e-08,3.7572021618359486e-06
38,38.0,H,2187.459567430198,-0.00012134984452491072,2.1449476756926246e-11,1.0629719326971099e-08,3.7572021618359486e-06
38,38.0,Na,14.758321222922614,-5.815138799176775e-07,8.457857166504568e-14,1.0629719326971099e-08,3.7572021618359486e-06
38,38.0,O,1093.7297837151011,-6.06749222537834e-05,1.2535055824813672e-11,1.0629719326971099e-08,3.7572021618359486e-06
38,38.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021618359486e-06
39,39.0,Cl,14.758321215105495,-5.893310080408288e-07,9.330548679319068e-14,1.0629719326971099e-08,3.75720214695896e-06
39,39.0,H,2187.459565798926,-0.00012298111655051537,2.1504244728225846e-11,1.0629719326971099e-08,3.75720214695896e-06
39,39.0,Na,14.758321215105493,-5.893310079767413e-07,9.146504238220998e-14,1.0629719326971099e-08,3.75720214695896e-06
39,39.0,O,1093.729782899465,-6.149055826635136e-05,1.2334831764391867e-11,1.0629719326971099e-08,3.75720214695896e-06
39,39.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.75720214695896e-06
40,40.0,Cl,14.75832120739087,-5.970456349571819e-07,9.483888017260491e-14,1.0629719326971099e-08,3.757202154286432e-06
40,40.0,H,2187.4595641890437,-0.00012459099852710234,2.1006391314999998e-11,1.0629719326971099e-08,3.757202154286432e-06
40,40.0,Na,14.75832120739087,-5.970456348894321e-07,9.477113045407702e-14,1.0629719326971099e-08,3.757202154286432e-06
40,40.0,O,1093.729782094524,-6.229549925441046e-05,1.2313044355817537e-11,1.0629719326971099e-08,3.757202154286432e-06
40,40.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202154286432e-06
41,41.0,Cl,14.758321199774807,-6.046616968982299e-07,9.43325595579992e-14,1.0629719326971099e-08,3.757202162057993e-06
41,41.0,H,2187.4595625997313,-0.00012618031207184679,2.2118365380343827e-11,1.0629719326971099e-08,3.757202162057993e-06
41,41.0,Na,14.758321199774803,-6.046616968304802e-07,9.07120961606708e-14,1.0629719326971099e-08,3.757202162057993e-06
41,41.0,O,1093.729781299868,-6.309015602654831e-05,1.3096170686528047e-11,1.0629719326971099e-08,3.757202162057993e-06
41,41.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202162057993e-06
42,42.0,Cl,14.75832119225362,-6.121828838839287e-07,9.408968207185733e-14,1.0629719326971099e-08,3.7572021438503356e-06
42,42.0,H,2187.4595610302167,-0.0001277498272121957,2.2706612089716527e-11,1.0629719326971099e-08,3.7572021438503356e-06
42,42.0,Na,14.758321192253618,-6.121828838381519e-07,9.22675483956139e-14,1.0629719326971099e-08,3.7572021438503356e-06
42,42.0,O,1093.72978051511,-6.387491359648838e-05,1.2707938637480064e-11,1.0629719326971099e-08,3.7572021438503356e-06
42,42.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021438503356e-06
43,43.0,Cl,14.758321184823844,-6.19612660924688e-07,9.522482057062597e-14,1.0587086762825493e-08,3.757202145404648e-06
43,43.0,H,2187.4595594797765,-0.00012930026701153858,2.233148572745175e-11,1.0587086762825493e-08,3.757202145404648e-06
43,43.0,Na,14.758321184823844,-6.196126608624315e-07,9.516256407251925e-14,1.0587086762825493e-08,3.757202145404648e-06
43,43.0,O,1093.7297797398908,-6.465013349592545e-05,1.3429635780715966e-11,1.0587086762825493e-08,3.757202145404648e-06
43,43.0,Zz,0.0,0.0,0.0,1.0587086762825493e-08,3.757202145404648e-06
44,44.0,Cl,14.758321177482232,-6.269542867147935e-07,1.0925195839237061e-13,1.0629719326971099e-08,3.75720213008357e-06
44,44.0,H,2187.4595579477323,-0.00013083231168065435,2.2720717641295726e-11,1.0629719326971099e-08,3.75720213008357e-06
44,44.0,Na,14.758321177482228,-6.26954286652537e-07,1.0563698821546339e-13,1.0629719326971099e-08,3.75720213008357e-06
44,44.0,O,1093.7297789738684,-6.541615583024896e-05,1.3396643684790085e-11,1.0629719326971099e-08,3.75720213008357e-06
44,44.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.75720213008357e-06
45,45.0,Cl,14.758321170225685,-6.34210830546026e-07,1.0572019162659747e-13,1.0629719326971099e-08,3.7572021567289227e-06
